River,Latitude,Longitude,River Flow, Slope,Canopy Cover,Number of Species,LOI,Land Cover,BIO9,BIO8,BIO7,BIO6,BIO5,BIO4,BIO3,BIO2,BIO19,BIO18,BIO17,BIO16,BIO15,BIO14,BIO13,BIO12,BIO11,BIO10,BIO1,LENGTHKM,StreamOrde,AreaSqKm,TotDaSqKM,DivDaSqKm
Alplaus Kill,42.929667,-73.98266,5,82,0.61,43,0.025,43,-37,131,396,-117,279,9605,29,117,212,276,212,278,12,62,96,1006,-49,199,80,8.643,3,17.5914,68.3289,68.3289
Ballston Creek,42.959150,-73.819983,5,38,0.57,46,0.046,41,-48,182,401,-117,284,9655,29,120,207,274,207,274,12,61,95,988,-48,203,82,8.276,1,19.1709,46.5669,46.5669
Batten Kill,43.097365,-73.141413,6,97,0.73,29,0.021,90,-42,195,411,-130,281,9624,31,130,216,297,211,297,14,63,109,1048,-55,195,75,6.144,3,21.6306,246.4812,246.4812
Beaver Kill,42.068748,-74.204728,1,0,0.61,25,0.004,90,-34,171,374,-109,265,9200,30,113,252,304,248,319,10,76,113,1153,-46,192,77,13.245,2,46.2366,64.5147,64.5147
Big Brook,43.320439,-75.34429,6,213,0.71,30,0.070,41,-50,90,391,-125,266,9716,28,113,280,305,258,318,10,79,115,1184,-61,190,70,1.005,3,0.9711,45.9189,45.9189
Boreas River,43.891673,-74.01499,5,8,0.00,28,0.015,21,-68,158,397,-152,245,9553,30,122,216,305,211,311,15,64,115,1064,-79,166,49,3.658,2,9.5958,134.9415,134.9415
Bullhead Pond Brook,43.80754,-74.04173,6,40,0.96,17,0.011,41,-67,158,394,-151,243,9489,30,121,224,307,220,313,14,66,115,1090,-78,166,50,3.202,2,3.2139,6.6546,6.6546
Cadman Creek,43.101747,-74.042986,8,37,0.71,44,0.046,90,-52,116,390,-132,258,9533,29,116,247,301,245,307,11,72,107,1138,-64,182,64,3.407,2,1.6245,23.2704,23.2704
Cedar River,43.792586,-74.289163,4,42,0.00,32,0.004,11,-68,156,391,-151,240,9434,31,122,228,303,225,312,13,67,111,1085,-79,163,49,3.994,3,4.2948,241.0776,241.0776
Chester Creek,43.668422,-73.788225,1,0,0.00,21,0.008,90,-53,177,409,-140,269,9788,30,124,209,283,206,284,14,63,107,1016,-66,187,66,4.452,2,8.1792,88.3035,88.3035
Cobleskill Creek,42.710005,-74.333995,1,43,0.14,30,0.007,95,-48,176,390,-113,277,9483,30,118,202,276,202,283,13,60,97,990,-48,198,79,3.203,4,5.0049,360.3843,360.3843
Daly Creek,43.269326,-73.955921,2,63,0.47,30,0.027,42,-50,118,398,-135,263,9589,29,119,247,294,245,299,10,73,105,1124,-63,185,66,2.022,3,7.6176,68.4405,68.4405
Evas Kill,42.928424,-74.127628,6,62,0.33,40,0.024,21,-38,130,393,-116,277,9561,30,118,215,276,215,280,12,63,97,1016,-50,198,78,4.132,2,3.9204,29.6865,29.6865
Fawn Lake,42.568064,-74.176195,6,80,0.71,38,0.012,41,-63,155,375,-127,248,9231,29,111,221,300,221,307,13,66,106,1083,-63,176,61,1.08,2,1.4724,5.4333,5.4333
Fishkill Creek,41.586321,-73.745521,7,70,0.73,21,0.057,21,-12,186,377,-91,286,9004,32,121,241,300,239,300,9,74,102,1107,-25,208,95,4.104,4,5.6781,129.9762,129.9762
Four Mile Brook,43.376747,-74.779332,7,33,0.22,30,0.020,21,-67,71,391,-147,244,9572,29,117,289,338,274,349,11,82,125,1290,-78,168,51,3.074,2,5.1498,19.4283,19.4283
Green River,43.103223,-73.211105,5,18,0.45,15,0.005,22,-41,196,412,-130,282,9657,31,130,207,293,203,293,15,60,108,1021,-55,196,76,7.269,2,25.362,78.9561,78.9561
Hans Creek,43.127709,-74.10272,7,43,0.76,36,0.025,21,-47,121,395,-129,266,9584,29,118,244,291,242,298,10,71,103,1110,-59,188,69,6.64,2,8.3304,71.2188,71.2188
Hudson River,44.01607,-74.054193,5,44,0.84,20,0.093,42,-70,156,397,-154,243,9562,30,122,211,307,204,313,16,62,115,1049,-82,165,47,1.845,4,3.1671,166.4775,166.4775
Indian Brook,41.411259,-73.914359,6,16,0.78,27,0.009,41,-9,204,371,-82,289,9048,30,114,258,305,258,308,8,78,106,1168,-21,213,98,3.634,2,6.6528,12.9096,12.9096
Indian Kill,42.871055,-73.908615,3,77,0.76,44,0.019,43,-46,182,396,-113,283,9643,29,116,202,271,202,273,12,60,94,973,-46,204,83,10.253,1,21.9744,21.9744,21.9744
Jassup River,43.582428,-74.40676,4,28,0.06,18,0.072,21,-67,158,391,-149,242,9465,30,120,269,319,261,328,10,77,116,1209,-78,165,50,5.405,3,9.6048,111.4803,111.4803
